id,y_DFT,y_pred_scratch,y_pred_pretrained,is_stable_DFT
Type4-MnFeSiN,372.652,380.23727,394.849,False
Type4-CoHfGaP,122.158,429.53766,187.15991,False
Type4-VFeGaN,260.336,280.61374,257.99567,False
Type4-FeWGeN,404.811,377.40363,401.05347,False
Type4-FeYGeP,213.455,258.49942,242.80182,False
Type4-NiScSiB,267.283,426.1718,250.61182,False
Type4-CoWGaP,286.413,308.6125,337.3176,False
Type4-NiZrAlC,489.838,522.49036,436.32224,False
Type4-NiNbSiP,315.032,505.4571,383.7753,False
Type4-VNbGeB,190.382,185.42168,178.19081,False
Type4-FeNiAlP,328.949,449.11172,276.98212,False
Type4-CrFeGeN,231.477,213.60577,223.01784,False
Type4-NiWSiB,261.386,243.62764,319.4648,False
Type4-CoNbSiN,578.249,602.15985,489.1855,False
Type4-VWAlP,401.285,411.97675,347.89258,False
Type4-CoScSiB,252.389,314.00085,250.29037,False
Type4-FeYGaP,303.809,429.1878,305.476,False
Type4-MnYGaP,421.812,464.29062,338.2678,False
Type4-VMnAlB,299.727,294.62814,267.54578,False
Type4-CrMnAlN,410.303,397.6492,390.70822,False
Type4-CrCoGaB,310.383,322.1126,242.52762,False
Type4-FeHfSiN,574.273,577.8336,555.4691,False
Type4-FeNiAlB,335.629,351.172,303.18326,False
Type4-CoCuSiN,705.723,866.3664,822.9819,False
Type4-MnFeGaC,37.905,46.24472,81.72357,False
Type4-MnNbSiP,261.454,368.9441,342.5065,False
Type4-FeCoAlN,628.202,621.8445,589.9342,False
Type4-VZrGeN,133.833,156.66808,85.9841,False
Type4-VTiAlB,257.867,282.0933,249.56732,False
